BankRef|PostingDay|MemoText|MoneyOut|MoneyIn|Ledger
AX-1001|01/09/2026|UPI-SWIGGY-LUNCH|450.00||15250.00
AX-1002|02/09/2026|SALARY CREDIT SEPTEMBER||66287.00|81537.00
AX-1003|03/09/2026|NET BANKING EMI TATA CAPITAL|12400.00||69137.00
AX-1004|05/09/2026|UPI-BIGBASKET GROCERIES|2180.50||66956.50
AX-1005|07/09/2026|IMPS FROM NANOSECOND TECH||175000.00|241956.50
AX-1006|08/09/2026|NEFT TO FAMILY ACCOUNT|50000.00||191956.50
AX-1007|10/09/2026|FUEL HP PETROL|2100.00||189856.50
AX-1008|12/09/2026|APOLLO PHARMACY|890.00||188966.50
AX-1009|15/09/2026|ELECTRICITY BILL|3200.00||185766.50
AX-1010|18/09/2026|UPI-ZOMATO DINNER|640.00||185126.50
